Procedure,ProcedureID,target1,target2,target3,target4,Expected_Response
VisProc,1,bright,crowd,bolt,bolt,1
VisProc,1,bed,grass,tape,view,0
VisProc,1,mug,frame,hill,hill,1
VisProc,1,clay,flea,lawn,lawn,1
VisProc,1,shop,flat,chip,chip,1
VisProc,1,cart,dance,flesh,sheep,0
VisProc,1,duck,jog,loose,tack,0
VisProc,1,cross,save,herd,seal,0
VisProc,1,bar,force,mouse,sheet,0
VisProc,1,beat,plug,judge,track,0
VisProc,1,hen,share,tap,well,0
VisProc,1,camp,flare,speak,hall,0
VisProc,1,wart,tall,purse,purse,1
VisProc,1,glare,foam,storm,wig,0
VisProc,1,risk,stand,talk,talk,1
VisProc,1,cool,fear,trail,worm,0
VisProc,1,bribe,fund,plum,shell,0
VisProc,1,floor,joke,spot,stay,0
VisProc,1,curse,drink,light,cup,0
VisProc,1,leave,twice,stall,stall,1
VisProc,1,plate,rule,soft,spend,0
VisProc,1,curb,flash,front,pick,0
VisProc,1,shout,drop,hug,hug,1
VisProc,1,gain,join,birth,fight,0
AudProc,2,please,sick,strike,wish,0
AudProc,2,dark,shape,list,list,1
AudProc,2,art,bit,spring,spring,1
AudProc,2,foot,game,soil,wide,0
AudProc,2,post,roof,wild,choice,0
AudProc,2,love,jazz,truck,truck,1
AudProc,2,gross,start,plan,sleep,0
AudProc,2,full,draw,fort,vote,0
AudProc,2,pull,dress,late,nine,0
AudProc,2,film,nice,trust,trust,1
AudProc,2,desk,text,gold,trip,0
AudProc,2,claim,play,tree,smile,0
AudProc,2,length,plus,sweet,walk,0
AudProc,2,rear,band,guess,safe,0
AudProc,2,snow,fine,stage,stage,1
AudProc,2,build,chair,cold,deal,0
AudProc,2,pool,wall,ground,mass,0
AudProc,2,firm,hear,seat,seat,1
AudProc,2,lost,chief,clean,park,0
AudProc,2,charge,fast,huge,seek,0
AudProc,2,fall,rich,wheel,wheel,1
AudProc,2,trade,feed,step,wife,0
AudProc,2,staff,march,ship,ship,1
AudProc,2,slow,land,bank,girl,0
FalVisProc,3,t`uy,_`ass,th`oa,fo`t,0
FalVisProc,3,s^ot,b`iyf,d`ink,a`m,0
FalVisProc,3,laky,soft,bi`th,bi`th,1
FalVisProc,3,zam^,fyll,fund,dust,0
FalVisProc,3,zlay,zhyst,tall,tall,1
FalVisProc,3,b`i_h,thin,nyzk,boat,0
FalVisProc,3,_`ow,hyat,loosy,danzy,0
FalVisProc,3,flat,^lant,moon,moon,1
FalVisProc,3,sho^,hill,stony,byat,0
FalVisProc,3,blozk,hall,`yazh,fya`,0
FalVisProc,3,floo`,ball,town,town,1
FalVisProc,3,fi_ht,s^ynd,b`own,^oin,0
FalVisProc,3,s^yak,t`uth,zool,zool,1
FalVisProc,3,twizy,`uly,^izk,`ozk,0
FalVisProc,3,zlub,fily,byd,byd,1
FalVisProc,3,fo`zy,viyw,lya`n,st`o_,0
FalVisProc,3,stay,stand,b`yak,d`o^,0
FalVisProc,3,savy,zhild,wyst,wyst,1
FalVisProc,3,son_,food,sha`y,b`in_,0
FalVisProc,3,zall,book,d`ivy,zhyzk,0
FalVisProc,3,tyst,s^azy,tyam,zost,0
FalVisProc,3,sto^,movy,tu`n,tu`n,1
FalVisProc,3,fyyl,zhan_y,ho^y,daty,0
FalVisProc,3,sya`z,nya`,f`ont,lyavy,0
FalAudProc,4,claim_fal,tree_fal,smile_fal,play_fal,0
FalAudProc,4,desk_fal,trip_fal,gold_fal,text_fal,0
FalAudProc,4,mass_fal,ground_fal,wheel_fal,wheel_fal,1
FalAudProc,4,charge_fal,fast_fal,huge_fal,seek_fal,0
FalAudProc,4,rear_fal,band_fal,guess_fal,safe_fal,0
FalAudProc,4,pool_fal,wall_fal,firm_fal,rich_fal,0
FalAudProc,4,sick_fal,strike_fal,wish_fal,please_fal,0
FalAudProc,4,foot_fal,game_fal,soil_fal,wide_fal,0
FalAudProc,4,nice_fal,film_fal,trust_fal,trust_fal,1
FalAudProc,4,snow_fal,fine_fal,stage_fal,stage_fal,1
FalAudProc,4,late_fal,nine_fal,pull_fal,dress_fal,0
FalAudProc,4,dark_fal,shape_fal,list_fal,list_fal,1
FalAudProc,4,gross_fal,start_fal,plan_fal,sleep_fal,0
FalAudProc,4,build_fal,chair_fal,cold_fal,deal_fal,0
FalAudProc,4,trade_fal,feed_fal,step_fal,wife_fal,0
FalAudProc,4,post_fal,roof_fal,wild_fal,choice_fal,0
FalAudProc,4,length_fal,plus_fal,sweet_fal,walk_fal,0
FalAudProc,4,hear_fal,fall_fal,seat_fal,seat_fal,1
FalAudProc,4,lost_fal,chief_fal,clean_fal,park_fal,0
FalAudProc,4,full_fal,draw_fal,fort_fal,vote_fal,0
FalAudProc,4,art_fal,bit_fal,spring_fal,spring_fal,1
FalAudProc,4,love_fal,jazz_fal,truck_fal,truck_fal,1
FalAudProc,4,slow_fal,land_fal,bank_fal,girl_fal,0
FalAudProc,4,staff_fal,march_fal,ship_fal,ship_fal,1